molecule_name,pEC50
CNP0303681,4.681054957
CNP0213792,4.683279648
CNP0226489,4.68343774
CNP0341217,4.683605095
CNP0426520,4.684279631
CNP0386631,4.685092364
CNP0212623,4.685557023
CNP0320363,4.686033843
CNP0284269,4.686229738
CNP0190942,4.686609101
CNP0291373,4.687779392
CNP0081985,4.688016419
CNP0081983,4.688016419
CNP0281205,4.688693121
CNP0009065,4.689823079
CNP0028333,4.69113325
CNP0214747,4.69139297
CNP0343256,4.691414595
CNP0385466,4.692625262
CNP0423103,4.694906001
CNP0196728,4.69514131
CNP0246339,4.695237732
CNP0281719,4.695321382
CNP0322379,4.69550813
CNP0079625,4.695848353
CNP0079621,4.695848353
CNP0235314,4.696673999
CNP0421133,4.696805602
CNP0269305,4.697153639
CNP0370729,4.69733086
CNP0366157,4.697343313
CNP0224115,4.697376567
CNP0465677,4.699108956
CNP0445240,4.699225404
CNP0185802,4.700997292
CNP0227569,4.701169703
CNP0326234,4.701169703
CNP0360609,4.701259568
CNP0341769,4.701542925
CNP0196552,4.701792076
CNP0199238,4.701792076
CNP0231569,4.701792076
CNP0358991,4.701792076
CNP0301458,4.701830362
CNP0408217,4.701830362
CNP0257486,4.702346982
CNP0339838,4.702593423
CNP0341074,4.703696696
CNP0320879,4.703715112
CNP0216120,4.703911905
CNP0212609,4.704125336
CNP0200275,4.704247219
CNP0407935,4.704247219
CNP0233791,4.704388765
CNP0080123,4.704771206
CNP0080123,4.704771206
CNP0249091,4.705682266
CNP0248644,4.706395379
CNP0362251,4.70643868
CNP0267769,4.707754312
CNP0370658,4.707754312
CNP0297670,4.707871767
CNP0258744,4.708337339
CNP0463531,4.708527485
CNP0369551,4.708900042
CNP0105560,4.709125822
CNP0198897,4.709125822
CNP0249997,4.709125822
CNP0416569,4.709125822
CNP0182972,4.709505176
CNP0359545,4.709505176
CNP0238428,4.709676026
CNP0459332,4.710866607
CNP0234149,4.710926021
CNP0088086,4.711473495
CNP0088684,4.711473495
CNP0088082,4.711473495
CNP0088681,4.711473495
CNP0090572,4.711473495
CNP0092726,4.711473495
CNP0095408,4.711473495
CNP0095629,4.711473495
CNP0099283,4.711473495
CNP0099392,4.711473495
CNP0100049,4.711473495
CNP0100508,4.711473495
CNP0105990,4.711473495
CNP0182132,4.711473495
CNP0184068,4.711473495
CNP0187355,4.711473495
CNP0217609,4.711473495
CNP0250487,4.711473495
CNP0253786,4.711473495
CNP0273965,4.711473495
CNP0311270,4.711473495
CNP0325342,4.711473495
CNP0361104,4.711473495
CNP0364305,4.711473495
CNP0417507,4.711473495
CNP0419036,4.711473495
CNP0424094,4.7115212
CNP0018672,4.712125594
CNP0221175,4.712650898
CNP0417065,4.713213644
CNP0268457,4.713377484
CNP0297614,4.713377484
CNP0228770,4.714840697
CNP0276323,4.715253717
CNP0362839,4.715626375
CNP0405518,4.715682308
CNP0260472,4.716219721
CNP0335718,4.717345898
CNP0472102,4.719214653
CNP0475818,4.719214653
CNP0358795,4.719237656
CNP0256647,4.71941165
CNP0279717,4.719563084
CNP0409288,4.720181832
CNP0329397,4.720633258
CNP0088951,4.721013021
CNP0095500,4.721013021
CNP0213155,4.721013021
CNP0088954,4.721013021
CNP0269171,4.721133304
CNP0383117,4.721138123
CNP0284963,4.722411773
CNP0326288,4.722411773
CNP0085055,4.722627455
CNP0085055,4.722627455
CNP0447172,4.7227472
CNP0444097,4.723836331
CNP0245475,4.723848163
CNP0212662,4.72423365
CNP0269176,4.724528065
CNP0012129,4.725153775
CNP0434202,4.72533623
CNP0395236,4.725628676
CNP0331494,4.725707803
CNP0391338,4.72577017
CNP0271571,4.725942158
CNP0382982,4.726061032
CNP0274912,4.726454952
CNP0079029,4.726827311
CNP0079028,4.726827311
CNP0303312,4.727104288
CNP0216217,4.727716487
CNP0292894,4.72859578
CNP0319317,4.728863533
CNP0348162,4.729602483
CNP0341103,4.729760898
CNP0461622,4.729924286
CNP0259304,4.730535198
CNP0293460,4.730868206
CNP0259468,4.73090125
CNP0289095,4.73090125
CNP0425043,4.731875638
