O=C(OC1CC(=C)C2CC2C(=CC3OC(=O)C(=C)C31)C)C4=COC=C4 CNP0005514
O=C1OC2C=C(C)C3CC3C(=C)CC(O)C2C1C CNP0005515
O=C(OC1C2C(=C)C(=O)OC2CC(C)C3C(O)CC(=O)C13C)C=C(C)C CNP0005522
O=C1OC2C=C(C)C3CC3C(=C)CC(OC(=O)C4=CC(O)OC4)C2C1=C CNP0005548
O=C(O)C1(C)C(O)CCC2(C3=CCC4C(=C)CC3(CCC21)C4)C CNP0006154
ClC=1C=NC=CC1CNC2C(O)C(N3C=CN=C3C)C4OCC2O4 CNP0006362
O=C1CCC2=CC(OC3CCCC3)=C(O)C(=C2)CC4=CC=CC(=C4)C[C-]5C=CN=C5NCC6=CC=7N=C[CH-]C7C(CC8C=CC=9C(O)=CC=CC9CC8)C6C(=O)C1CCO CNP0006642
O=C(O)C=1C=CC=CC1C(=O)N2CC3=CC=C(F)C=C3N4C(=O)OCC4CC2 CNP0007301
O=C(C=CC=1C(Cl)=CC=CC1Cl)C=2C=CC=3C=CC=CC3C2O CNP0008037
O=C(O)CCC=C(CNC)CCCCCCCCC1C=C(CCN)CC1 CNP0008704
ClC1=C2OCOC2=C(OC)C(OC)=C1C3=NOC(=C3)CO CNP0008985
O=C1OCC2=C(OC)C(OC)=C(OC)C(=C12)CSC3=NN=NN3C=4C=CC=CC4 CNP0009041
O=C(C1=CC=C(C=C1)NC(=O)C2N(CC=3C=CC=CC3C2)S(=O)(=O)C4=CC=C(OC)C(OC)=C4)C CNP0009062
O=C(C1=CC=C(Cl)C=C1)N2C=3C=CC(OC)=CC3C(=C2C)CC(=O)N4CCN(C(=O)C=5C=CC=CC5)CC4 CNP0009065
O=C(C=CC1=CC=C(Cl)C=C1)N2CCCCC2 CNP0009411
O=C1OCC2=CC(OC)=C(OC)C=C2C1=CC3=CC=C4OCOC4=C3 CNP0009458
O=C1NC(=O)C(I)=C(N1)NCCO CNP0009483
O=C1C(=CC(C)CC=CC2C(O)C(=C(C)C3C(NC(=O)C23C(=O)CCC1O)CC4=CN=C5C=CC=C[C-]54)C)C CNP0009495
O=C(O)C=CC(=O)C=1C=CC=CC1 CNP0009522
O=C(O)C1C2C(=O)OC3C(Cl)C1CC32 CNP0009560
O=C(O)C1(C)CCCC2(C3=CCC4C(=C)C(O)C3(CCC12)C4)C CNP0009570
